OBJECTID,StopNumber,Latitude,Longitude,Route,Effective Date,x,y
263,237,43.532243,-79.625453,14,2025/09/01,-79.6254529999999,43.5322430000001
264,238,43.531576,-79.627597,14,2025/09/01,-79.627597,43.531576
265,239,43.52758,-79.633826,14,2025/09/01,-79.633826,43.5275800000001
266,240,43.52619,-79.635763,14,2025/09/01,-79.6357629999999,43.52619
267,241,43.524559,-79.63721,14,2025/09/01,-79.63721,43.5245590000001
268,242,43.522869,-79.638956,14,2025/09/01,-79.638956,43.5228690000001
269,243,43.519976,-79.640209,14,2025/09/01,-79.640209,43.519976
270,244,43.516182,-79.636633,13,2025/09/01,-79.636633,43.5161820000001
271,244,43.516182,-79.636633,14,2025/09/01,-79.636633,43.5161820000001
272,244,43.516182,-79.636633,45,2025/09/01,-79.636633,43.5161820000001
273,245,43.518964,-79.640422,13,2025/09/01,-79.6404219999999,43.518964
274,245,43.518964,-79.640422,14,2025/09/01,-79.6404219999999,43.518964
275,245,43.518964,-79.640422,45,2025/09/01,-79.6404219999999,43.518964
276,245,43.518964,-79.640422,110,2025/09/01,-79.6404219999999,43.518964
277,246,43.519687,-79.640166,14,2025/09/01,-79.640166,43.519687
278,247,43.52241,-79.638986,14,2025/09/01,-79.638986,43.52241
279,248,43.524521,-79.63705,14,2025/09/01,-79.63705,43.524521
280,249,43.525903,-79.635893,14,2025/09/01,-79.6358929999999,43.525903
281,250,43.527365,-79.63388,14,2025/09/01,-79.63388,43.527365
282,251,43.531307,-79.627715,14,2025/09/01,-79.627715,43.531307
283,252,43.532186,-79.62517,14,2025/09/01,-79.62517,43.5321860000001
284,253,43.533118,-79.624122,14,2025/09/01,-79.6241219999999,43.5331180000001
285,254,43.535114,-79.626799,14,2025/09/01,-79.6267989999999,43.5351140000001
286,255,43.536212,-79.628284,14,2025/09/01,-79.6282839999999,43.536212
287,256,43.537191,-79.625799,14,2025/09/01,-79.625799,43.5371910000001
288,257,43.538611,-79.621917,14,2025/09/01,-79.6219169999999,43.5386110000001
289,258,43.540154,-79.617711,14,2025/09/01,-79.617711,43.540154
290,259,43.541567,-79.613866,14,2025/09/01,-79.613866,43.541567
291,260,43.54259,-79.611404,14,2025/09/01,-79.6114039999999,43.5425900000001
292,261,43.5471,-79.606388,14,2025/09/01,-79.606388,43.5471000000001
293,262,43.5508,-79.602402,14,2025/09/01,-79.602402,43.5508
294,263,43.550638,-79.597973,14,2025/09/01,-79.597973,43.550638
295,264,43.549249,-79.591915,14,2025/09/01,-79.591915,43.549249
296,266,43.522532,-79.617606,23,2025/09/01,-79.617606,43.5225320000001
